PermutationIndex,Permutation,MatterQubits
573096156,"[1,7,2,8,4,9,3,13,12,11,6,5,10]",4
573650287,"[3,7,6,8,1,9,5,11,12,10,4,2,13]",4
573762755,"[7,6,2,8,1,9,4,12,13,11,3,5,10]",4
574346641,"[5,7,1,8,3,9,4,12,13,10,6,2,11]",4
574424544,"[7,1,2,8,3,9,5,13,10,11,6,4,12]",4
575062859,"[7,1,5,8,2,9,3,11,10,13,6,4,12]",4
575941938,"[7,6,5,8,4,9,3,10,13,11,2,1,12]",4
576068059,"[5,7,1,8,6,9,2,13,11,10,3,4,12]",4
576197757,"[7,6,2,8,5,9,1,12,13,10,4,3,11]",4
576426275,"[5,7,6,8,1,9,2,10,11,12,3,4,13]",4
576445348,"[7,6,3,8,1,9,5,10,11,12,2,4,13]",4
576711531,"[6,7,3,8,4,9,1,11,12,10,2,5,13]",4
577111608,"[7,6,5,8,2,9,4,11,13,10,1,3,12]",4
578120371,"[7,5,4,8,2,9,1,13,12,10,6,3,11]",4
578344085,"[7,6,4,8,2,9,3,13,10,11,1,5,12]",4
578954062,"[7,6,5,8,2,9,4,13,12,10,1,3,11]",4
578961259,"[6,7,5,8,1,9,4,10,11,12,2,3,13]",4
580181974,"[6,7,1,8,4,9,3,10,13,11,5,2,12]",4
580818345,"[7,3,5,8,4,9,2,10,13,11,6,1,12]",4
581268677,"[4,7,6,8,3,9,5,11,13,10,2,1,12]",4
581683980,"[7,6,3,8,2,9,4,13,11,10,1,5,12]",4
581851487,"[6,7,5,8,3,9,2,12,10,13,4,1,11]",4
581898840,"[7,2,3,8,1,9,5,10,12,11,6,4,13]",4
581926444,"[7,6,2,8,5,9,4,12,10,13,1,3,11]",4
582188861,"[2,7,5,8,4,9,3,11,13,12,6,1,10]",4
582371099,"[5,7,2,8,6,9,4,12,10,13,1,3,11]",4
582410913,"[1,7,6,8,3,9,5,12,11,13,2,4,10]",4
582921637,"[3,7,6,8,1,9,2,11,13,10,5,4,12]",4
583816406,"[7,6,3,8,2,9,5,11,12,10,1,4,13]",4
583852108,"[6,7,1,8,5,9,4,13,11,12,3,2,10]",4
583888868,"[7,3,5,8,1,9,2,12,11,10,6,4,13]",4
584015250,"[5,7,2,8,6,9,3,12,11,10,4,1,13]",4
584100999,"[5,7,4,8,6,9,2,10,13,11,1,3,12]",4
584119175,"[2,7,6,8,4,9,5,13,11,12,1,3,10]",4
584434493,"[2,7,5,8,1,9,4,11,13,10,6,3,12]",4
584607625,"[4,7,3,8,6,9,1,12,13,11,2,5,10]",4
584718615,"[7,1,3,8,5,9,2,13,12,10,6,4,11]",4
585614390,"[3,7,6,8,2,9,1,10,13,11,4,5,12]",4
585922291,"[4,7,6,8,2,9,3,11,13,10,1,5,12]",4
586104710,"[7,2,4,8,3,9,5,13,11,12,6,1,10]",4
586441071,"[3,7,4,8,5,9,2,13,10,11,6,1,12]",4
586501585,"[6,7,3,8,2,9,5,12,11,13,1,4,10]",4
586663526,"[6,7,5,8,4,9,3,11,10,12,1,2,13]",4
586687642,"[7,4,3,8,1,9,2,11,13,12,6,5,10]",4
586891649,"[4,7,2,8,6,9,5,11,10,13,1,3,12]",4
586892693,"[7,1,2,8,5,9,4,10,12,13,6,3,11]",4
587112833,"[7,6,3,8,2,9,1,11,12,13,5,4,10]",4
587375917,"[3,7,1,8,6,9,2,11,10,13,5,4,12]",4
587666684,"[6,7,2,8,1,9,3,11,13,12,5,4,10]",4
588101456,"[1,7,2,8,6,9,3,10,13,11,4,5,12]",4
588468839,"[7,6,5,8,2,9,3,10,12,13,1,4,11]",4
589568049,"[7,6,5,8,3,9,4,10,12,11,2,1,13]",4
589980829,"[5,7,1,8,6,9,3,13,10,11,4,2,12]",4
590661247,"[7,3,1,8,5,9,4,12,11,10,6,2,13]",4
590978749,"[7,6,3,8,5,9,1,12,13,10,2,4,11]",4
591013121,"[7,4,2,8,3,9,1,11,10,12,6,5,13]",4
591253312,"[7,6,4,8,5,9,2,11,13,10,3,1,12]",4
591370867,"[1,7,2,8,3,9,5,10,12,13,6,4,11]",4
592021501,"[4,7,1,8,3,9,2,12,13,10,6,5,11]",4
592545472,"[4,7,3,8,2,9,5,12,11,10,6,1,13]",4
593116339,"[3,7,4,8,6,9,1,13,12,10,5,2,11]",4
594183654,"[7,3,4,8,2,9,5,10,12,13,6,1,11]",4
594637282,"[2,7,4,8,6,9,1,11,13,12,3,5,10]",4
594912690,"[3,7,2,8,5,9,4,11,13,12,6,1,10]",4
55082437,"[7,6,5,8,3,9,2,11,12,13,1,4,10]",4
55363391,"[3,7,6,8,5,9,2,13,10,12,1,4,11]",4
55602548,"[6,7,3,8,5,9,1,12,11,13,4,2,10]",4
55702656,"[5,7,3,8,2,9,4,10,12,13,6,1,11]",4
56412902,"[3,7,4,8,2,9,5,11,10,13,6,1,12]",4
56613736,"[3,7,2,8,6,9,4,13,11,12,1,5,10]",4
57078857,"[1,7,6,8,5,9,4,12,13,10,2,3,11]",4
57446812,"[3,7,6,8,2,9,4,11,12,13,5,1,10]",4
57819667,"[3,7,6,8,4,9,2,13,12,11,1,5,10]",4
57847573,"[4,7,3,8,5,9,1,11,12,10,6,2,13]",4
58443895,"[7,2,1,8,5,9,3,13,11,10,6,4,12]",4
58570361,"[4,7,2,8,6,9,3,11,13,10,5,1,12]",4
58764391,"[7,6,4,8,5,9,2,10,12,11,1,3,13]",4
58786195,"[7,5,3,8,1,9,2,12,13,10,6,4,11]",4
58838131,"[7,5,3,8,2,9,4,12,10,13,6,1,11]",4
59192557,"[7,6,1,8,3,9,5,13,10,12,2,4,11]",4
59266073,"[3,7,4,8,6,9,2,11,10,13,1,5,12]",4
59593555,"[4,7,3,8,6,9,1,10,13,12,5,2,11]",4
595018492,"[7,6,4,8,3,9,1,10,11,12,2,5,13]",4
596108215,"[5,7,1,8,6,9,3,12,13,11,2,4,10]",4
596584607,"[4,7,6,8,2,9,1,12,13,10,3,5,11]",4
596864743,"[7,6,5,8,2,9,1,12,10,11,4,3,13]",4
597271502,"[1,7,4,8,6,9,2,10,12,13,5,3,11]",4
